ID;Code;Name;Coordinates;Description;Zone ID;URL;Location Type;Parent Station ID;Timezone;Wheelchair Boarding
RTM-00003373;;Noailles;43.297998, 5.382307;;;;0;;;2
RTM-00004571;;Noailles;43.29814054, 5.38110085;Bus Relais M2 - Nuits Longues NEOMMA;;;0;;;2
RTM-00003015;;Notre Dame;43.388772, 5.360868;AVENUE DU 8 MAI 1945  SEPTÈMES-LES-VALLONS 13240  ABS de matériel RTM;;;0;;;2
RTM-00003016;;Notre Dame;43.388858, 5.361204;;;;0;;;2
RTM-00002311;;Notre-Dame du Mont;43.292812, 5.3836365;;;;0;;;2
RTM-00001757;;Obélisque;43.251085, 5.403314;;;;0;;;2
RTM-00001782;;Obélisque;43.25154, 5.403307;;;;0;;;2
RTM-00000493;;Oddo Butineuse;43.328057, 5.360793;;;;0;;;2
RTM-00000492;;Oddo Lyon;43.328908, 5.364141;;;;0;;;2
RTM-00001470;;Oratoire Gazzino;43.288107, 5.370334;;;;0;;;2
RTM-00002097;;Oriol Corniche;43.275464, 5.36026;;;;0;;;2
RTM-00001140;;Paradis D'Urville;43.27202, 5.385762;;;;0;;;2
RTM-00001134;;Paradis Fiolle;43.284205, 5.380631;;;;0;;;2
RTM-00001138;;Paradis Lord Duveen;43.2752, 5.384432;;;;0;;;2
RTM-00001087;;Paradis Wulfran Puget;43.277724, 5.38354;;;;0;;;2
RTM-00001137;;Paradis Wulfran Puget;43.276815, 5.38373;;;;0;;;2
RTM-00004205;;Parc Bagatelle;43.26949405, 5.38151982;;;;0;;;2
RTM-00000183;;Parc Blanchard;43.343291, 5.365591;;;;0;;;2
RTM-00001703;;Parc Borély;43.263961, 5.377813;;;;0;;;1
RTM-00004007;;Parc Kallisté;43.38464, 5.364883;CHEMIN DES BOURRELY  MARSEILLE 13015;;;0;;;1
RTM-00002079;;Parc Valmer;43.278884, 5.354374;;;;0;;;1
RTM-00004389;;Paul Gaffarel;43.348581, 5.356832;AVENUE PAUL GAFFAREL  MARSEILLE 13015;;;0;;;2
RTM-00001571;;Paulette;43.314596, 5.39747;27 AVENUE DES CHUTES LAVIE  MARSEILLE 13004;;;0;;;1
RTM-00001636;;Pauline Ripert;43.272438, 5.410941;;;;0;;;2
RTM-00000631;;Peintres Roux Jardinerie;43.306248, 5.469436;;;;0;;;2
RTM-00000648;;Peintres Roux Jardinerie;43.306556, 5.469362;;;;0;;;2
RTM-00002501;;Peintres Roux La Serviane;43.303401, 5.473175;;;;0;;;2
RTM-00000483;;Pelletan St Lazare;43.30860989, 5.37426283;;;;0;;;1
RTM-00000211;;Perrin Guigou;43.315061, 5.389043;Arrêt replacé suite imprécision gps relevé terrain;;;0;;;2
RTM-00003573;;Pichou Galinette;43.364511, 5.310347;;;;0;;;2
RTM-00003050;;Pinède Rougière;43.390469, 5.375851;pas de sigep. ancien affichage;;;0;;;2
RTM-00002071;;Place Amiral Muselier;43.264523, 5.373622;;;;0;;;1
RTM-00002986;;Place Barbusse;43.407022, 5.363109;abs  sigep;;;0;;;2
RTM-00001919;;Place Bonnefon;43.253425, 5.381996;BOULEVARD DU SABLIER  MARSEILLE 13008;;;0;;;2
RTM-00001931;;Place Bonnefon;43.25394, 5.382162;;;;0;;;2
RTM-00000518;;Place Bougainville;43.31953056, 5.36880076;;;;0;;;1
RTM-00002013;;Place Burel;43.314768, 5.389299;;;;0;;;2
RTM-00002042;;Place Burel;43.315015, 5.389394;;;;0;;;2
RTM-00001469;;Place Colonel Edon;43.286302, 5.370189;;;;0;;;2
RTM-00000903;;Place de Bois Luzy;43.309966, 5.419695;;;;0;;;2
RTM-00001412;;Place de la Corderie;43.290382, 5.372497;;;;0;;;2
RTM-00001440;;Place de la Corderie;43.290611, 5.371355;;;;0;;;2
